name,lost,played,goal_difference,goals_for,won,goals_against,drawn,position,points
Juventus,2,38,+57,80,33,23,3,1,102
Roma,5,38,+47,72,26,25,7,2,85
Napoli,6,38,+38,77,23,39,9,3,78
Fiorentina,11,38,+21,65,19,44,8,4,65
Inter,8,38,+23,62,15,39,15,5,60
Parma,10,38,+12,58,15,46,13,6,58
Torino,11,38,+10,58,15,48,12,7,57
Milan,13,38,+8,57,16,49,9,8,57
Lazio,12,38,0,54,15,54,11,9,56
Verona,16,38,−6,62,16,68,6,10,54
Atalanta,18,38,−8,43,15,51,5,11,50
Sampdoria,17,38,−14,48,12,62,9,12,45
Udinese,18,38,−11,46,12,57,8,13,44
Genoa,16,38,−9,41,11,50,11,14,44
Cagliari,17,38,−19,34,9,53,12,15,39
Chievo,22,38,−20,34,10,54,6,16,36
Sassuolo,22,38,−29,43,9,72,7,17,34
Catania,22,38,−32,34,8,66,8,18,32
Bologna,19,38,−30,28,5,58,14,19,29
Livorno,25,38,−38,39,6,77,7,20,25
